"Word","RTlexdec","RTnaming","Familiarity","WrittenFrequency","FamilySize","NounFrequency","VerbFrequency","Voice","AgeSubject"
"doe",694.889999999997,466.399999999999,2.37,50.0000000000002,4,49,0,"voiced","young"
"stress",547.269999999997,465.8,5.6,669.000000000001,5,565,473,"voiceless","young"
"pork",616.6,460.300000000002,3.87,150.999999999999,6.99999999999998,150,0,"voiceless","young"
"plug",633.079999999998,492.000000000001,3.93,133,9,170,120,"voiceless","young"
"prop",686.749999999998,477.099999999999,3.27,118.000000000001,4,125,280,"voiceless","young"
"dawn",584.399999999997,456.600000000002,3.73,591.999999999997,3,582,110,"voiced","young"
"dog",526.819999999997,444.100000000002,5.67,1285.99999999999,40.0000000000001,2061,76,"voiced","young"
"arc",741.480000000001,453.799999999999,3.1,133,5,144,4,"voiced","young"
"skirt",536.379999999999,482.599999999999,4.43,375.999999999998,5.99999999999997,522,86,"voiceless","young"
"spree",740.379999999997,491.1,3.27,30.0000000000001,2,32,0,"voiceless","young"
"are",610.57,485.200000000002,6.73,79196.9999999985,15,1,0,"voiced","young"
"sprig",760.200000000001,491.700000000003,1.72,33.9999999999999,3,48,0,"voiceless","young"
"pipe",562.930000000001,465.499999999999,3.3,402.999999999999,23,558,73,"voiceless","young"
"hooch",646.859999999999,505.700000000001,2.23,6.99999999999998,2,6,0,"voiceless","young"
"guard",558.899999999999,471.700000000002,4.33,731.000000000001,24.0000000000001,935,329,"voiced","young"
"tile",647.069999999998,459.300000000001,3.8,59,5.99999999999997,174,60,"voiceless","young"
"slope",632.54,476.199999999999,4.1,330.999999999999,3,464,143,"voiceless","young"
"pile",594.789999999998,468.500000000002,4.66,474.000000000001,9,532,371,"voiceless","young"
"greed",587.499999999997,482.800000000002,4.13,153.000000000001,6.99999999999998,152,0,"voiced","young"
"plum",616.670000000002,497.399999999998,3.4,52.9999999999999,4,108,0,"voiceless","young"
"pith",695.859999999998,473.299999999999,1.97,12,5,11,0,"voiceless","young"
"whorl",777.000000000002,499.7,1.44,2,3,8,0,"voiced","young"
"tide",597.999999999999,468.300000000002,3.28,438.999999999999,15,546,0,"voiceless","young"
"jet",543.930000000002,451.5,3.67,223,8.00000000000003,337,10,"voiced","young"
"blitz",671.590000000003,469.500000000001,2.83,66.0000000000003,3,65,27,"voiced","young"
"weed",558.309999999999,448.900000000002,4.13,168,12,358,81,"voiced","young"
"prow",710.730000000001,487.899999999999,1.93,20,2,20,0,"voiceless","young"
"port",683.360000000002,459.300000000001,3.03,438.999999999999,17.0000000000001,579,0,"voiceless","young"
"beach",590.659999999996,458.5,3.9,1061,5.99999999999997,1449,16,"voiced","young"
"while",583.110000000003,448.600000000001,6.03,11006,6.99999999999998,2861,0,"voiced","young"
"jaw",540.430000000001,462.1,3.73,223,6.99999999999998,387,6,"voiced","young"
"arm",532.210000000001,456.900000000002,5.23,1896.99999999999,39.0000000000001,3766,100,"voiced","young"
"plan",636.100000000001,470.400000000001,5.27,1742,5.99999999999997,2416,3013,"voiceless","young"
"pill",572.310000000002,463.799999999999,4.63,234,4,507,0,"voiceless","young"
"loft",647.139999999999,464.799999999999,3.5,47.0000000000001,8.00000000000003,53,2,"voiced","young"
"grouch",687.959999999999,496.699999999998,3.63,4,5,4,0,"voiced","young"
"spire",694.200000000003,500.999999999998,2.03,96.0000000000003,5,132,0,"voiceless","young"
"plate",587.930000000001,494.699999999999,5.57,657,27.9999999999999,995,10,"voiceless","young"
"week",616.24,445.9,6.17,4854.00000000001,16,7712,0,"voiced","young"
"spine",575.619999999997,483.899999999998,4.47,205,6.99999999999998,242,0,"voiceless","young"
"glove",563,476.9,4.4,83.0000000000002,5.99999999999997,348,0,"voiced","young"
"beast",580.530000000002,483.999999999999,3.47,299.000000000001,9,492,0,"voiced","young"
"art",557.309999999999,441.299999999999,4.77,2973.00000000001,19,3006,0,"voiced","young"
"lisle",875.800000000002,508.199999999998,1.31,5,2,4,0,"voiced","young"
"ant",653.410000000003,473.600000000002,3.63,70.0000000000001,249.000000000001,209,0,"voiced","young"
"chunk",626.960000000001,447.4,3.83,62.9999999999998,3,146,0,"voiceless","young"
"ease",642.480000000002,474.799999999999,4.17,579.999999999997,16,415,404,"voiced","young"
"yore",743.210000000002,473.099999999999,1.43,5.99999999999997,2,5,0,"voiced","young"
"brute",689.390000000003,466.399999999999,3.03,90.0000000000005,10,62,0,"voiced","young"
"globe",674.410000000002,476.599999999999,3.47,184.999999999999,6.99999999999998,201,0,"voiced","young"
"crest",580.699999999998,481.900000000001,3.37,108,5,139,8,"voiceless","young"
"churn",676.580000000002,452.600000000002,2.53,23,4,15,89,"voiceless","young"
"cloth",595.669999999999,489.200000000001,4.63,810.999999999997,20,875,0,"voiceless","young"
"shirt",593.580000000003,435.299999999999,5.9,813,15,1096,0,"voiceless","young"
"froth",777.859999999997,501.900000000001,2.13,40.0000000000001,5.99999999999997,35,26,"voiceless","young"
"czar",825.049999999996,533.100000000003,2.73,20.9999999999999,2,24,0,"voiced","young"
"chive",756.590000000002,477.800000000001,2.6,3,2,25,0,"voiceless","young"
"east",669.96,477.3,4.73,772.000000000003,40.0000000000001,578,0,"voiced","young"
"cliff",626.749999999998,503.8,3.13,265,3,438,0,"voiceless","young"
"moose",601.499999999998,456.4,2.9,15,2,14,0,"voiced","young"
"dearth",707.539999999997,490.199999999999,1.9,17.0000000000001,2,16,0,"voiced","young"
"bride",547.520000000001,463.699999999998,3.4,188,6.99999999999998,217,0,"voiced","young"
"roach",632.890000000001,438.000000000002,3.23,115,3,117,0,"voiced","young"
"base",630.79,451.799999999999,4.3,1188,17.0000000000001,1432,0,"voiced","young"
